               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12004,             0.05496,            0.046087,                   0,                   0,                   0,                   0,             0.12948,            0.039945,            0.046428,                   0,                   0,                 0.1
                   1,             0.11814,            0.042549,            0.045266,                   0,                   0,                   0,                   0,             0.12821,            0.040116,            0.046581,           9.998e-06,           9.998e-06,             0.09991
                   2,             0.12046,            0.042201,            0.045782,                   0,                   0,                   0,                   0,             0.12784,            0.040209,            0.046535,          1.9984e-05,          1.9984e-05,             0.09982
                   3,             0.12039,            0.045156,            0.045869,                   0,                   0,                   0,                   0,             0.12735,             0.04035,            0.046494,          2.9947e-05,          2.9947e-05,             0.09973
                   4,             0.12064,            0.041183,            0.046691,                   0,                   0,                   0,                   0,             0.12683,            0.040531,            0.046437,          3.9874e-05,          3.9874e-05,             0.09964
                   5,             0.11969,            0.050724,            0.046935,                   0,                   0,                   0,                   0,             0.12637,            0.040655,            0.046384,          4.9754e-05,          4.9754e-05,             0.09955
                   6,             0.11679,            0.048242,            0.045412,                   0,                   0,                   0,                   0,             0.12576,            0.040867,            0.046327,          5.9575e-05,          5.9575e-05,             0.09946
                   7,              0.1202,            0.040945,            0.046015,                   0,                   0,                   0,                   0,             0.12501,            0.041216,            0.046233,          6.9326e-05,          6.9326e-05,            0.099369
                   8,             0.11664,            0.044061,             0.04515,                   0,                   0,                   0,                   0,             0.12427,            0.041549,            0.046134,          7.8995e-05,          7.8995e-05,            0.099279
                   9,             0.11742,            0.039688,            0.047459,                   0,                   0,                   0,                   0,             0.12347,            0.041949,            0.046047,          8.8571e-05,          8.8571e-05,            0.099189
                  10,             0.11467,            0.039238,            0.047603,                   0,                   0,                   0,                   0,             0.12264,            0.042379,            0.045924,          9.8042e-05,          9.8042e-05,            0.099098
                  11,             0.11748,            0.047528,            0.045166,                   0,                   0,                   0,                   0,             0.12178,            0.042814,            0.045804,           0.0001074,           0.0001074,            0.099007
                  12,              0.1153,             0.04343,            0.045914,                   0,                   0,                   0,                   0,             0.12083,             0.04333,            0.045655,          0.00011663,          0.00011663,            0.098917
                  13,             0.11248,             0.04326,            0.045699,                   0,                   0,                   0,                   0,             0.11997,            0.043782,            0.045526,          0.00012572,          0.00012572,            0.098826
                  14,             0.11128,            0.052525,            0.045466,                   0,                   0,                   0,                   0,             0.11897,            0.044311,            0.045349,          0.00013467,          0.00013467,            0.098735
                  15,             0.11239,            0.047782,            0.045929,                   0,                   0,                   0,                   0,             0.11798,            0.044853,            0.045193,          0.00014346,          0.00014346,            0.098643
                  16,             0.10991,            0.047533,            0.046052,                   0,                   0,                   0,                   0,             0.11696,            0.045439,            0.045015,          0.00015208,          0.00015208,            0.098552
                  17,             0.11086,            0.047625,            0.045551,                   0,                   0,                   0,                   0,             0.11586,            0.046068,            0.044843,          0.00016053,          0.00016053,            0.098461
                  18,             0.10943,            0.046722,            0.044897,                   0,                   0,                   0,                   0,             0.11467,            0.046743,            0.044659,          0.00016879,          0.00016879,            0.098369
                  19,             0.10645,            0.047826,            0.044525,                   0,                   0,                   0,                   0,             0.11363,            0.047296,            0.044489,          0.00017686,          0.00017686,            0.098277
                  20,             0.10612,            0.054504,            0.046018,                   0,                   0,                   0,                   0,             0.11265,            0.047817,             0.04431,          0.00018472,          0.00018472,            0.098185
                  21,             0.10409,             0.04959,            0.044001,           0.0022487,             0.16667,           0.0018527,          0.00018527,             0.11161,            0.048371,            0.044152,          0.00019237,          0.00019237,            0.098092
                  22,             0.10764,            0.049614,            0.045406,           0.0023482,             0.16667,           0.0018946,          0.00018946,             0.11053,            0.048963,            0.043982,          0.00019981,          0.00019981,               0.098
                  23,              0.1006,            0.048186,            0.044657,           0.0024447,             0.16667,           0.0019836,          0.00019836,             0.10934,              0.0496,            0.043821,          0.00020701,          0.00020701,            0.097907
                  24,             0.10567,            0.058063,            0.043977,           0.0025142,             0.16667,            0.001916,           0.0001916,             0.10821,            0.050204,            0.043661,          0.00021398,          0.00021398,            0.097814
                  25,             0.10201,            0.063134,            0.044593,           0.0025314,             0.16667,           0.0018526,          0.00018526,              0.1072,            0.050756,            0.043503,          0.00022071,          0.00022071,            0.097721
                  26,              0.0986,            0.065212,            0.044436,           0.0025295,             0.16667,            0.001793,           0.0001793,             0.10622,            0.051275,            0.043326,          0.00022719,          0.00022719,            0.097627
                  27,             0.10114,            0.058096,            0.044062,            0.002539,             0.16667,            0.001685,           0.0001685,             0.10528,            0.051789,            0.043176,          0.00023342,          0.00023342,            0.097533
                  28,            0.098752,            0.050197,              0.0441,           0.0027032,             0.16667,           0.0017021,          0.00017021,             0.10408,            0.052469,            0.043021,          0.00023939,          0.00023939,            0.097439
                  29,            0.097447,             0.06726,            0.043398,           0.0027433,             0.16667,           0.0016199,          0.00016199,             0.10323,            0.052921,              0.0429,           0.0002451,           0.0002451,            0.097345
                  30,            0.094647,            0.053432,            0.043005,           0.0027992,             0.16667,           0.0015894,          0.00015894,             0.10183,            0.053679,            0.042728,          0.00025053,          0.00025053,            0.097251
                  31,            0.097759,            0.069141,            0.044074,           0.0028797,             0.16667,           0.0015317,          0.00015317,             0.10068,            0.054261,            0.042575,           0.0002557,           0.0002557,            0.097156
                  32,             0.10087,            0.068495,            0.044773,           0.0028549,             0.16667,           0.0014912,          0.00029825,            0.099828,            0.054674,            0.042453,          0.00026059,          0.00026059,            0.097061
                  33,             0.10264,             0.04249,            0.043274,           0.0028772,             0.16667,            0.001491,          0.00029821,            0.098669,            0.055311,            0.042336,          0.00026519,          0.00026519,            0.096965
                  34,            0.095435,            0.054468,            0.044659,            0.001773,             0.16667,           0.0014401,          0.00028803,            0.097405,            0.055992,            0.042198,          0.00026952,          0.00026952,             0.09687
                  35,            0.093188,            0.065799,            0.043777,           0.0035829,             0.33333,           0.0055921,          0.00069964,            0.096047,            0.056671,            0.042071,          0.00027356,          0.00027356,            0.096774
                  36,            0.086547,             0.06766,            0.044013,           0.0047736,             0.16667,           0.0054549,          0.00068251,            0.094319,            0.057564,            0.041959,          0.00027731,          0.00027731,            0.096677
                  37,            0.088849,            0.063616,            0.042913,            0.004893,             0.16667,           0.0052002,          0.00065072,            0.092745,            0.058312,            0.041838,          0.00028078,          0.00028078,            0.096581
                  38,            0.090983,             0.04288,            0.044439,           0.0050045,             0.16667,           0.0055457,          0.00069386,            0.091299,            0.059059,            0.041745,          0.00028395,          0.00028395,            0.096484
                  39,            0.095115,            0.073581,            0.043706,           0.0082332,             0.66667,           0.0098914,           0.0029727,            0.090371,            0.059476,            0.041661,          0.00028684,          0.00028684,            0.096387
                  40,            0.089769,            0.056208,            0.044699,           0.0082656,             0.66667,            0.010568,           0.0032523,            0.088001,            0.060683,            0.041541,          0.00028944,          0.00028944,            0.096289
                  41,            0.098101,            0.053179,            0.044223,           0.0082742,             0.66667,            0.010947,           0.0033832,            0.086437,            0.061483,            0.041442,          0.00029175,          0.00029175,            0.096192
                  42,             0.09242,            0.059041,            0.042992,           0.0087389,             0.66667,            0.011229,           0.0034544,            0.085015,            0.062188,            0.041338,          0.00029378,          0.00029378,            0.096094
                  43,            0.087038,            0.054161,            0.042237,           0.0087017,             0.66667,            0.011367,           0.0035019,            0.083787,            0.062778,            0.041231,          0.00029552,          0.00029552,            0.095996
                  44,            0.090316,            0.049079,            0.043153,           0.0087391,             0.66667,            0.012229,           0.0037288,            0.081691,            0.063826,            0.041101,          0.00029698,          0.00029698,            0.095897
                  45,            0.096951,            0.064137,            0.042513,           0.0087537,             0.66667,            0.012531,           0.0037809,             0.08061,            0.064302,            0.041015,          0.00029816,          0.00029816,            0.095798
                  46,            0.092974,             0.07028,             0.04329,           0.0088549,             0.66667,            0.013249,           0.0040727,            0.079558,            0.064705,            0.040913,          0.00029906,          0.00029906,            0.095699
                  47,             0.09809,            0.056005,            0.044219,             0.01203,                 0.5,            0.013791,           0.0044417,            0.078995,             0.06489,            0.040846,          0.00029969,          0.00029969,              0.0956
                  48,            0.096464,            0.065234,            0.042524,            0.012057,                 0.5,            0.014229,           0.0046419,             0.07813,            0.065194,            0.040776,          0.00030006,          0.00030006,              0.0955
                  49,            0.094747,            0.066963,             0.04322,            0.012324,                 0.5,            0.016227,           0.0050646,            0.077283,            0.065493,            0.040716,          0.00030016,          0.00030016,              0.0954
                  50,            0.083652,            0.050259,            0.040223,            0.012746,                 0.5,            0.017097,           0.0053194,            0.074651,            0.066742,            0.040639,              0.0003,              0.0003,              0.0953
                  51,            0.085286,            0.051234,            0.041549,             0.01298,                 0.5,            0.018625,           0.0059962,            0.072955,              0.0675,            0.040573,          0.00029959,          0.00029959,              0.0952
                  52,             0.09058,            0.054817,            0.042844,            0.013159,                 0.5,            0.019615,           0.0061794,            0.071672,            0.068054,            0.040517,          0.00029894,          0.00029894,            0.095099
